"AptName","SeqId","SeqIdVersion","SomaId","TargetFullName","Target","UniProt","EntrezGeneID","EntrezGeneSymbol","Organism","Units","Type","Dilution","PlateScale_Reference","CalReference","Cal_PLT19524","Cal_PLT19523","Cal_PLT19522","CalQcRatio_PLT19524_200170","Cal_PLT19521","CalQcRatio_PLT19523_200170","Cal_PLT19525","CalQcRatio_PLT19522_200170","ColCheck","CalQcRatio_PLT19521_200170","CalQcRatio_PLT19525_200170","QcReference_200170","Dilution2"
"seq.12604.16","12604-16",3,"SL019785","Polycomb protein SCMH1","SCMH1","Q96GD3","22955","SCMH1","Human","RFU","Protein","20",1910.4,1910.4,1.20438785,1.24108361,1.1357232,1.073,1.20105621,1.066,1.31524957,0.994,"PASS",1.035,0.988,1249,0.2
"seq.12605.1","12605-1",3,"SL005742","Exosome complex component RRP40","Exosome component 3","Q9NQT5","51010","EXOSC3","Human","RFU","Protein","20",1875.7,1875.7,1.046766,1.00871202,1.04101454,1.053,1.01702543,1.003,1.06187726,1.005,"PASS",1.038,1.046,994.4,0.2
"seq.12612.37","12612-37",3,"SL008624","Proteasome subunit beta type-1","PSB1","P20618","5689","PSMB1","Human","RFU","Protein","20",2318.3,2318.3,0.93702761,1.01930179,0.97777309,1.082,0.95517284,1.25,0.96712695,1.092,"FLAG",1.239,1.164,1947.4,0.2
"seq.12616.45","12616-45",3,"SL019803","Nuclear receptor-binding protein","NRBP","Q9UHY1","29959","NRBP1","Human","RFU","Protein","20",1207.4,1207.4,1.26934399,1.22441943,1.25993948,1.013,1.22678317,0.936,1.43943729,0.953,"PASS",1.011,0.842,659.5,0.2
"seq.12617.2","12617-2",3,"SL008369","Serine/threonine-protein kinase 24","STK24","Q9Y6E0","8428","STK24","Human","RFU","Protein","20",31739.6,31739.6,0.9214039,0.93226457,1.01784621,0.969,0.95576735,1.093,1.01313517,0.942,"PASS",1.045,1.076,29441.9,0.2
"seq.12618.50","12618-50",3,"SL008344","Aldo-keto reductase family 1 member C1","Aldo-keto reductase 1C1","Q04828","1645","AKR1C1","Human","RFU","Protein","20",376.2,376.2,1.16218721,1.15116279,1.10614525,1.016,1.10517039,0.937,1.24487095,0.911,"PASS",0.935,0.911,223,0.2
"seq.12619.14","12619-14",3,"SL004719","Protein phosphatase 1A","Protein phophatase 2Ca","P35813","5494","PPM1A","Human","RFU","Protein","20",6315.1,6315.1,0.97869076,0.87461913,0.89893382,1.058,0.95650001,1.238,0.94034874,1.158,"FLAG",1.135,1.203,4703.1,0.2
"seq.12620.3","12620-3",3,"SL011301","Septin-11","Septin-11","Q9NVA2","55752","SEPTIN11","Human","RFU","Protein","20",3872.4,3872.4,1.05855339,1.07884326,1.02004583,0.93,1.0045918,0.927,1.07182596,1.003,"PASS",0.992,0.968,3218.9,0.2
"seq.12621.55","12621-55",3,"SL008081","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform","PP2AAA","P30153","5518","PPP2R1A","Human","RFU","Protein","20",3072.2,3072.2,1.09619639,1.12931922,1.14930231,1.091,1.17192447,1.186,1.18925405,1.178,"PASS",1.182,1.131,2659.7,0.2
"seq.12622.96","12622-96",3,"SL019786","Histone-lysine N-methyltransferase ASH1L","ASH1L","Q9NR48","55870","ASH1L","Human","RFU","Protein","20",697,697,0.94791242,0.89336068,0.91349934,0.943,0.94303883,1.052,0.94726828,0.968,"PASS",0.96,0.952,218.4,0.2
"seq.12623.84","12623-84",3,"SL019793","Protein Jumonji","JARD2","Q92833","3720","JARID2","Human","RFU","Protein","20",537.2,537.2,1.27057711,1.19218819,1.13190055,0.939,1.16000864,0.922,1.25075669,0.967,"PASS",0.897,0.946,353.4,0.2
"seq.12625.138","12625-138",3,"SL019811","Kelch-like protein 7","KLHL7","Q8IXQ5","55975","KLHL7","Human","RFU","Protein","20",1201.5,1201.5,1.15907775,1.18141593,1.11590972,0.949,1.13498961,0.925,1.22502039,0.973,"PASS",0.971,0.905,1064.7,0.2
"seq.12626.6","12626-6",3,"SL019816","Sentrin-specific protease 7","SENP7","Q9BQF6","57337","SENP7","Human","RFU","Protein","20",291.1,291.1,0.91054113,0.93661519,0.92120253,1.019,0.90291563,0.984,0.93331196,0.995,"PASS",0.992,1.009,195.9,0.2
"seq.12627.97","12627-97",3,"SL019821","Ubiquitin-like modifier-activating enzyme ATG7","ATG7","O95352","10533","ATG7","Human","RFU","Protein","20",1893.3,1893.3,0.94175288,1.03640245,0.97759075,1.043,1.1436424,1.155,1.00238247,1.055,"PASS",1.102,1.1,1063.8,0.2
"seq.12628.31","12628-31",3,"SL019826","LanC-like protein 2","LANC2","Q9NS86","55915","LANCL2","Human","RFU","Protein","20",3513.6,3513.6,0.89632653,0.94716411,1.01502196,0.962,0.99313152,1.085,1.05994148,0.93,"PASS",1.103,0.985,6117.1,0.2
"seq.12630.8","12630-8",3,"SL019787","Arfaptin-2","ARFP2","P53365","23647","ARFIP2","Human","RFU","Protein","20",2214.9,2214.9,1.08530968,1.07462035,1.12545732,1.063,1.10183066,1.106,1.15413475,1.082,"PASS",1.092,1.11,1261,0.2
"seq.12632.14","12632-14",3,"SL019805","Arylamine N-acetyltransferase 1","ARY1","P18440","9","NAT1","Human","RFU","Protein","0.5",1547.6,1547.6,1.10196525,1.16747133,1.22727994,0.937,1.10487613,0.84,1.07390188,0.912,"PASS",0.897,0.894,1113.2,0.005
"seq.12633.3","12633-3",3,"SL019812","Tyrosine-protein phosphatase non-receptor type 9","PTN9","P43378","5780","PTPN9","Human","RFU","Protein","20",443,443,0.95804498,0.98030538,0.92426455,1.008,0.93479637,1.046,0.95804498,1.067,"PASS",1.079,1.099,441.4,0.2
"seq.12634.79","12634-79",3,"SL025804","Breast cancer anti-estrogen resistance protein 3:Guanine Nucleotide Exchange Factor Domain","BCAR3:Ras-GEF","O75815","8412","BCAR3","Human","RFU","Protein","20",1499.5,1499.5,0.99826909,0.95771859,0.93830173,1.019,0.99508926,1.087,0.99370444,0.995,"PASS",1.017,1.089,703.5,0.2
"seq.12635.9","12635-9",3,"SL019822","tRNA (cytosine(38)-C(5))-methyltransferase","TRDMT","O14717","1787","TRDMT1","Human","RFU","Protein","20",391.2,391.2,0.86414844,0.91658857,0.83375959,1.122,0.85883644,1.105,0.75245239,1.216,"FLAG",1.161,1.426,782.2,0.2
"seq.12636.113","12636-113",3,"SL019827","N-lysine methyltransferase SMYD2","SMYD2","Q9NRG4","56950","SMYD2","Human","RFU","Protein","20",269.1,269.1,0.95121951,0.97077922,0.92157534,1.026,0.95901639,1.074,0.95935829,1.039,"PASS",1.043,1.048,224.2,0.2
"seq.12637.7","12637-7",3,"SL019832","Carnitine O-acetyltransferase","CACP","P43155","1384","CRAT","Human","RFU","Protein","20",837,837,0.92629482,0.98435846,0.93918312,0.956,0.96350869,0.942,0.9619584,0.965,"PASS",0.924,0.919,566.9,0.2
"seq.12641.3","12641-3",3,"SL019813","Type II inositol 1,4,5-trisphosphate 5-phosphatase","I5P2","P32019","3633","INPP5B","Human","RFU","Protein","20",3437.8,3437.8,0.81235379,0.89041415,0.95542216,1.01,0.9238666,1.176,0.93489612,1.002,"PASS",1.178,1.088,4830.4,0.2
"seq.12643.4","12643-4",3,"SL011195","Beta-arrestin-1","ARRB1","P49407","408","ARRB1","Human","RFU","Protein","0.5",7997.3,7997.3,0.87228682,0.91690075,0.95812767,1.016,0.9519462,1.036,0.88498993,1.033,"PASS",1.048,1.021,8582.5,0.005
"seq.12644.63","12644-63",3,"SL019828","Adenylosuccinate synthetase isozyme 2","PURA2","P30520","159","ADSS2","Human","RFU","Protein","20",539.5,539.5,1.04050145,1.02062051,1.0467598,0.992,1.06557377,1.024,1.06242615,0.989,"PASS",1.006,1.001,401.5,0.2
"seq.12646.2","12646-2",3,"SL013233","Ribulose-phosphate 3-epimerase","RPE","Q96AT9","6120","RPE","Human","RFU","Protein","20",706.5,706.5,0.96966786,1.0104405,0.9672782,0.981,1.00198553,1.111,0.98043297,1.021,"PASS",1.079,1.033,566.5,0.2
"seq.12647.52","12647-52",3,"SL016514","Histone-lysine N-methyltransferase SETD2","SETD2","Q9BYW2","29072","SETD2","Human","RFU","Protein","20",217.4,217.4,0.93626184,0.9394987,0.90545606,1,0.87696652,1.002,0.8535532,1.052,"PASS",1.031,1.027,179.6,0.2
"seq.12649.80","12649-80",3,"SL004917","Malate dehydrogenase, mitochondrial","Malate dehydrogenase 2","P40926","4191","MDH2","Human","RFU","Protein","20",51658.1,51658.1,0.97718309,0.94399937,1.0424292,0.879,0.96118107,1.024,1.01081293,0.899,"PASS",0.918,0.978,35599.1,0.2
"seq.12650.43","12650-43",3,"SL008873","Guanine nucleotide-binding protein G(k) subunit alpha","GNAI3","P08754","2773","GNAI3","Human","RFU","Protein","20",924.1,924.1,1.01404587,1.06181776,1.01941533,0.991,1.03067143,1.065,1.10208706,1.019,"PASS",1.071,1.035,623.2,0.2
"seq.12651.21","12651-21",3,"SL019823","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial","PDK2","Q15119","5164","PDK2","Human","RFU","Protein","20",623.8,623.8,0.94443603,0.96893445,0.9060276,0.975,0.91978767,1.001,0.93523238,0.978,"PASS",0.969,0.98,401.9,0.2
"seq.12652.37","12652-37",3,"SL019829","Adenosylhomocysteinase 2","SAHH2","O43865","10768","AHCYL1","Human","RFU","Protein","20",2137.9,2137.9,1.03821873,1.07502388,1.08998674,0.996,1.08544882,1.047,1.13742286,1.032,"PASS",1.075,1.003,1700.2,0.2
"seq.12653.13","12653-13",3,"SL010497","Casein kinase I isoform gamma-2","CSNK1G2","P78368","1455","CSNK1G2","Human","RFU","Protein","20",640.8,640.8,1.05360079,1.08243243,1.02923225,1.079,1.04127397,0.997,1.04466906,0.931,"PASS",0.953,0.979,489.3,0.2
"seq.12655.30","12655-30",3,"SL010994","Beta-soluble NSF attachment protein","SNAB","Q9H115","63908","NAPB","Human","RFU","Protein","20",1818.6,1818.6,1.11886305,1.14090339,1.08878645,1.027,1.12190006,1.01,1.17215598,1.004,"PASS",1.042,1.03,1339.8,0.2
"seq.12656.1","12656-1",3,"SL019807","Kinesin light chain 1","KLC1","Q07866","3831","KLC1","Human","RFU","Protein","20",620.7,620.7,1.09819533,1.14309392,1.15953671,1.127,1.19872538,1.243,1.38302139,1.21,"FLAG",1.289,1.181,878.8,0.2
"seq.12657.2","12657-2",3,"SL010919","GDP-L-fucose synthase","FCL","Q13630","7264","TSTA3","Human","RFU","Protein","20",1163,1163,1.05862006,1.08045336,1.02530195,1.006,1.05096693,1.041,1.15848192,0.982,"PASS",1.004,0.969,684.8,0.2
"seq.12658.72","12658-72",3,"SL019818","Pantothenate kinase 3","PANK3","Q9H999","79646","PANK3","Human","RFU","Protein","0.5",872.5,872.5,0.89030612,0.99725683,1.09900491,0.986,1.03156775,0.978,0.90508299,0.91,"PASS",0.973,0.946,710.6,0.005
"seq.12659.13","12659-13",3,"SL008839","Obg-like ATPase 1","GTPB9","Q9NTK5","29789","OLA1","Human","RFU","Protein","0.5",2286.2,2286.2,0.84079291,0.90625124,0.908051,1.014,0.91000279,1.057,0.82809331,1.053,"PASS",1.025,1.05,2162.3,0.005
"seq.12661.44","12661-44",3,"SL019788","Gamma-aminobutyric acid receptor-associated protein-like 1","GBRL1","Q9H0R8","23710","GABARAPL1","Human","RFU","Protein","0.5",892,892,0.8502526,0.88229476,0.93658127,1.065,0.89101988,1.01,0.85358852,1.031,"PASS",1.039,1.011,788,0.005
"seq.12662.82","12662-82",3,"SL004998","Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial","ECH1","Q13011","1891","ECH1","Human","RFU","Protein","20",1100,1100,0.83656552,1.01168031,0.91346952,0.853,0.79382262,0.748,0.76098236,0.734,"FLAG",0.926,0.991,646.9,0.2
"seq.12663.1","12663-1",3,"SL011234","Thiosulfate sulfurtransferase","THTR","Q16762","7263","TST","Human","RFU","Protein","20",2205.1,2205.1,1.17130564,1.23410566,1.2332774,0.97,1.24202997,1.031,1.47537803,1.019,"PASS",1.082,0.984,1809.3,0.2
"seq.12664.19","12664-19",3,"SL014918","Tyrosine-protein phosphatase non-receptor type 13","PTN13","Q12923","5783","PTPN13","Human","RFU","Protein","20",504.6,504.6,0.91996354,1.01836529,0.91132382,1.013,0.92130729,0.997,0.96059395,0.971,"PASS",0.976,0.998,211.2,0.2
"seq.12665.16","12665-16",3,"SL014917","Interleukin enhancer-binding factor 2","ILF2","Q12905","3608","ILF2","Human","RFU","Protein","20",608.4,608.4,0.99917885,1,0.96755725,0.991,0.9773494,1.024,0.97860705,1.018,"PASS",1.025,1.012,425.2,0.2
"seq.12667.2","12667-2",3,"SL009095","Guanine deaminase","GUAD","Q9Y2T3","9615","GDA","Human","RFU","Protein","0.5",1276.2,1276.2,1.27824519,1.34961929,1.39888195,0.943,0.91066077,0.96,1.27811718,0.952,"PASS",1.015,0.945,1122.5,0.005
"seq.12668.7","12668-7",3,"SL019834","Vacuolar protein sorting-associated protein 4B","VPS4B","O75351","9525","VPS4B","Human","RFU","Protein","20",5468,5468,1.2175462,1.23414436,1.03782717,1.082,1.09982501,0.981,1.14688424,0.872,"PASS",0.894,0.923,3071.6,0.2
"seq.12669.30","12669-30",3,"SL019789","E3 ubiquitin-protein ligase HECW1","HECW1","Q76N89","23072","HECW1","Human","RFU","Protein","20",455.9,455.9,1.01514139,1.01176209,0.96835174,1.018,0.95516447,0.97,0.91711929,1.038,"PASS",1.035,1.028,339.9,0.2
"seq.12670.15","12670-15",3,"SL019800","Cell cycle checkpoint protein RAD1","RAD1","O60671","5810","RAD1","Human","RFU","Protein","20",413.9,413.9,1.08350785,1.01695332,1.00754625,0.932,0.96188706,0.965,1.07367056,0.96,"PASS",1.008,0.945,318.2,0.2
"seq.12671.35","12671-35",3,"SL019808","Sulfotransferase family cytosolic 1B member 1","ST1B1","O43704","27284","SULT1B1","Human","RFU","Protein","20",903.6,903.6,0.96189057,1.00489324,0.97276348,1.02,1.07776718,1.06,1.05511443,1,"PASS",1.063,0.993,712.8,0.2
"seq.12675.14","12675-14",3,"SL010893","Aspartate--tRNA ligase, cytoplasmic","SYDC","P14868","1615","DARS1","Human","RFU","Protein","20",22838.4,22838.4,1.05557404,1.02258898,1.17738884,0.942,1.13970328,1.036,1.13369504,0.956,"PASS",1.057,1.03,24288.1,0.2
"seq.12676.1","12676-1",3,"SL019835","Protein kinase C and casein kinase substrate in neurons protein 1","PACN1","Q9BY11","29993","PACSIN1","Human","RFU","Protein","20",2601.9,2601.9,1.02111377,0.99988471,1.03864117,1.015,1.05455356,1.105,1.07378977,1.061,"PASS",1.073,1.036,1576.8,0.2
"seq.12677.164","12677-164",3,"SL006530","Protein flightless-1 homolog","FLII","Q13045","2314","FLII","Human","RFU","Protein","20",1222.5,1222.5,1.0253292,1.06721955,1.03452653,1.008,1.04335581,1.016,1.09454741,0.998,"PASS",1.012,1.028,1023.8,0.2
"seq.12678.66","12678-66",3,"SL013011","U1 small nuclear ribonucleoprotein A","SNRPA","P09012","6626","SNRPA","Human","RFU","Protein","20",861.1,861.1,1.09027602,0.95976371,0.98377699,1.002,1.06995527,0.944,1.05578715,1.041,"PASS",1.071,1.018,1174.4,0.2
"seq.12681.63","12681-63",3,"SL019819","Ubiquitin carboxyl-terminal hydrolase 21","UBP21","Q9UK80","27005","USP21","Human","RFU","Protein","20",3323.8,3323.8,1.18685949,1.16534605,1.10760105,1.013,1.18360516,1.015,1.20088157,0.977,"PASS",0.973,0.977,2143.5,0.2
"seq.12682.5","12682-5",3,"SL019824","Kynurenine--oxoglutarate transaminase 3","KAT3","Q6YP21","56267","KYAT3","Human","RFU","Protein","20",952,952,0.98878272,1.00094627,0.97521,0.959,0.986733,0.987,0.99498328,0.997,"PASS",1.02,1.004,695.8,0.2
"seq.12683.156","12683-156",3,"SL019830","Dihydropyrimidinase-related protein 5","DPYL5","Q9BPU6","56896","DPYSL5","Human","RFU","Protein","20",688.4,688.4,1.13747521,1.1206251,1.08136978,0.995,1.07110627,0.917,1.10871316,0.936,"PASS",0.927,0.925,420.6,0.2
"seq.12684.5","12684-5",3,"SL019836","Adseverin","ADSV","Q9Y6U3","85477","SCIN","Human","RFU","Protein","20",3403.4,3403.4,0.97195568,1.05748198,0.99862093,0.964,1.05738342,1.016,1.09230374,0.975,"PASS",1.005,1.003,2635.8,0.2
"seq.12685.57","12685-57",3,"SL019790","Homer protein homolog 2","HOME2","Q9NSB8","9455","HOMER2","Human","RFU","Protein","20",428.5,428.5,0.84734032,0.87022746,0.86443413,0.96,0.87807377,1.023,0.89011217,0.982,"PASS",1,1.041,410,0.2
"seq.12686.15","12686-15",3,"SL008788","3-mercaptopyruvate sulfurtransferase","THTM","P25325","4357","MPST","Human","RFU","Protein","20",1375,1375,0.96153846,0.90430779,0.88778409,0.98,0.95406606,0.981,0.81699346,1.028,"PASS",1.028,1.03,1051.1,0.2
"seq.12687.2","12687-2",3,"SL008215","2,4-dienoyl-CoA reductase, mitochondrial","DECR","Q16698","1666","DECR1","Human","RFU","Protein","20",4519.6,4519.6,1.06068998,1.07058935,1.07881797,0.906,1.07835465,0.959,1.22078764,0.979,"PASS",0.991,0.954,3074.6,0.2
"seq.12688.115","12688-115",3,"SL019814","Ribosomal protein S6 kinase alpha-6","KS6A6","Q9UK32","27330","RPS6KA6","Human","RFU","Protein","20",1356.7,1356.7,0.99239266,1.07478412,1.046352,0.975,1.00697692,1.079,1.108868,1.011,"PASS",1.082,1.042,1475,0.2
"seq.12689.56","12689-56",3,"SL011157","Actin-related protein 2/3 complex subunit 1B","ARC1B","O15143","10095","ARPC1B","Human","RFU","Protein","20",54032.8,54032.8,0.88891521,0.92026958,0.98039671,0.765,0.87246634,0.879,0.84538395,0.742,"FLAG",0.857,0.949,37169.9,0.2
"seq.12690.33","12690-33",3,"SL019825","Septin-10","SEP10","Q9P0V9","151011","SEPTIN10","Human","RFU","Protein","20",3875.6,3875.6,1.17763598,1.16548883,1.06358572,1.038,1.17896146,0.96,1.23828999,0.949,"PASS",0.952,0.933,2741.1,0.2
"seq.12691.44","12691-44",3,"SL015512","Serine hydroxymethyltransferase, mitochondrial","GLYM","P34897","6472","SHMT2","Human","RFU","Protein","20",13921.7,13921.7,1.02314284,1.01771277,1.09932169,0.88,1.0376938,0.967,1.20186646,0.948,"PASS",0.918,0.94,8425.5,0.2
"seq.12692.56","12692-56",3,"SL019837","Histone-lysine N-methyltransferase, H3 lysine-79 specific","DOT1L","Q8TEK3","84444","DOT1L","Human","RFU","Protein","20",438.4,438.4,1.04034172,1.03837044,1.00343328,0.984,0.97748049,0.918,1.02286514,0.979,"PASS",1.005,0.922,236.7,0.2
"seq.12693.2","12693-2",3,"SL008627","SH3 domain-binding glutamic acid-rich-like protein","SH3L1","O75368","6451","SH3BGRL","Human","RFU","Protein","20",1463.2,1463.2,1.20467644,0.97990892,1.05220768,1.126,1.19474157,0.907,1.02817792,1.017,"PASS",0.953,0.927,1020.2,0.2
"seq.12694.28","12694-28",3,"SL019801","Probable dimethyladenosine transferase","DIM1","Q9UNQ2","27292","DIMT1","Human","RFU","Protein","20",191.7,191.7,0.92519305,0.932393,0.95610973,1.306,0.91242266,1.366,0.89328984,1.476,"FLAG",1.466,1.508,270.4,0.2
"seq.12695.62","12695-62",3,"SL019809","Kelch-like protein 12","KLH12","Q53G59","59349","KLHL12","Human","RFU","Protein","20",318,318,0.87147164,0.89501829,0.85899514,1.03,0.86085544,1.029,0.85552865,1.038,"PASS",1.035,1.019,246.2,0.2
"seq.12696.166","12696-166",3,"SL019815","Protein arginine N-methyltransferase 3","ANM3","O60678","10196","PRMT3","Human","RFU","Protein","20",3671.7,3671.7,0.95821807,1.0814385,1.0152353,0.993,0.99326408,0.981,1.10740138,0.96,"PASS",1.032,0.934,281.9,0.2
"seq.12697.30","12697-30",3,"SL010809","Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha","PI42A","P48426","5305","PIP4K2A","Human","RFU","Protein","20",5987.2,5987.2,1.17610545,1.29034483,1.21973679,1.063,1.27427903,1.325,1.48044113,1.059,"FLAG",1.235,1.199,4847.4,0.2
"seq.12698.72","12698-72",3,"SL006395","Importin subunit alpha-3","IMA4","O00629","3840","KPNA4","Human","RFU","Protein","20",1212.8,1212.8,0.98234246,1.00032992,0.94513716,1.041,0.96830339,1.046,0.90737693,1.125,"FLAG",1.113,1.252,3929.5,0.2
"seq.12699.28","12699-28",3,"SL005763","T-complex protein 1 subunit theta","TCP-1-theta","P50990","10694","CCT8","Human","RFU","Protein","20",15603,15603,0.89663654,1.12294616,1.15777601,0.519,0.92280123,0.474,0.98364686,0.453,"FLAG",0.575,0.583,10643.5,0.2
"seq.12700.9","12700-9",3,"SL007279","ATP-citrate synthase","ACLY","P53396","47","ACLY","Human","RFU","Protein","20",1008.6,1008.6,1.04280397,0.98131932,0.91408374,1.006,0.97742029,1.023,0.88839954,1.057,"PASS",1.009,1.043,830.8,0.2
"seq.12701.1","12701-1",3,"SL019791","Eukaryotic translation initiation factor 1b","EIF1B","O60739","10289","EIF1B","Human","RFU","Protein","20",4716.9,4716.9,1.0371144,1.12733921,1.1396231,0.978,1.1343883,0.994,1.1826547,1.043,"PASS",1.096,0.972,5160.9,0.2
"seq.12702.13","12702-13",3,"SL019802","E3 ubiquitin-protein ligase pellino homolog 2","PELI2","Q9HAT8","57161","PELI2","Human","RFU","Protein","20",1105.8,1105.8,1.0680962,1.010509,1.05767575,1.002,1.0671685,1.058,1.10546836,1.072,"PASS",1.103,1.053,887.4,0.2
"seq.12703.6","12703-6",3,"SL019810","Serine/threonine-protein kinase Nek7","NEK7","Q8TDX7","140609","NEK7","Human","RFU","Protein","20",13230.5,13230.5,0.95188932,0.95282849,1.07133892,1.189,1.07558919,1.32,1.09379134,1.226,"FLAG",1.374,1.246,14684.8,0.2
"seq.12704.26","12704-26",3,"SL009388","SH2 domain-containing protein 3C","SH2D3","Q8N5H7","10044","SH2D3C","Human","RFU","Protein","0.5",780.5,780.5,0.96572631,1.01574701,1.06727745,0.979,0.96144371,0.981,0.9253112,0.967,"PASS",0.962,0.972,592.8,0.005
"seq.12705.9","12705-9",3,"SL019820","Probable E3 ubiquitin-protein ligase HERC1","HERC1","Q15751","8925","HERC1","Human","RFU","Protein","20",368.4,368.4,0.99299191,1.03425042,0.96870891,1.02,0.98529018,0.97,1.02276513,1.002,"PASS",0.948,0.989,253.7,0.2
"seq.12706.2","12706-2",3,"SL007478","Serine/threonine-protein kinase MRCK alpha","MRCKA","Q5VT25","8476","CDC42BPA","Human","RFU","Protein","20",2020.6,2020.6,0.91824585,0.98302116,0.95473445,0.861,0.98474585,0.872,0.90727852,0.761,"FLAG",0.844,0.853,1520.6,0.2
"seq.12707.26","12707-26",3,"SL008196","Dihydropyrimidinase-related protein 3","DPYL3","Q14195","1809","DPYSL3","Human","RFU","Protein","0.5",1248.3,1248.3,1.00386007,1.07214635,1.12226917,0.983,1.08528951,0.969,0.98906584,0.988,"PASS",0.993,1.004,1085.8,0.005
"seq.12708.91","12708-91",3,"SL019851","Lethal(3)malignant brain tumor-like protein 2","LMBL2","Q969R5","83746","L3MBTL2","Human","RFU","Protein","20",1129.7,1129.7,0.92689531,0.85902213,0.81773435,1.054,0.87107718,1.094,0.7265419,1.218,"FLAG",1.11,1.198,1368.5,0.2
"seq.12709.63","12709-63",3,"SL008266","Histone H1x","H1X","Q92522","8971","H1-10","Human","RFU","Protein","20",1209.8,1209.8,0.92041996,0.93579827,0.90853109,1.062,0.91181791,1.115,1.00465039,1.1,"PASS",1.185,1.16,9076.5,0.2
"seq.12711.19","12711-19",3,"SL007244","Gap junction alpha-8 protein","CXA8","P48165","2703","GJA8","Human","RFU","Protein","20",520.6,520.6,1.01560671,0.99655436,1.02480315,1.023,1.02641956,1.073,0.98022971,1.018,"PASS",1.002,1.047,355.2,0.2
"seq.12712.9","12712-9",3,"SL019881","High mobility group protein 20A","HM20A","Q9NP66","10363","HMG20A","Human","RFU","Protein","20",529.2,529.2,0.9742268,1.01534919,0.93663717,0.986,0.94991922,0.984,0.93037975,1.021,"PASS",1.016,1.014,404,0.2
"seq.12713.365","12713-365",3,"SL014816","Regulator of G-protein signaling 19","RGS19","P49795","10287","RGS19","Human","RFU","Protein","20",3507.9,3507.9,1.08328701,1.09328056,0.94295852,1.007,1.07226043,1.042,1.08775466,0.967,"PASS",0.905,0.943,2052.3,0.2
"seq.12714.38","12714-38",3,"SL019896","AP-1 complex subunit gamma-like 2","AP1G2","O75843","8906","AP1G2","Human","RFU","Protein","20",2969.8,2969.8,1.03039345,0.95732061,1.04104883,0.988,1.04291333,1.038,1.13785441,1.029,"PASS",1.065,1.028,3601.8,0.2
"seq.12715.30","12715-30",3,"SL019904","mRNA-decapping enzyme 1B","DCP1B","Q8IZD4","196513","DCP1B","Human","RFU","Protein","20",523.4,523.4,0.74325476,0.95250227,0.89089362,0.45,0.60140182,0.342,0.60078053,0.232,"FLAG",0.459,0.49,329.8,0.2
"seq.12716.3","12716-3",3,"SL015364","Zinc finger protein 175","ZN175","Q9Y473","7728","ZNF175","Human","RFU","Protein","20",2818.7,2818.7,1.16043639,1.19380797,0.99502259,1.013,1.05435027,0.926,1.05297172,0.939,"PASS",0.914,0.931,1756.7,0.2
"seq.12717.65","12717-65",3,"SL019861","TOX high mobility group box family member 3","TOX3","O15405","27324","TOX3","Human","RFU","Protein","20",1059.3,1059.3,0.93602545,0.90383959,0.85968187,1.04,0.90430254,1.01,0.75821344,1.088,"PASS",1.029,1.066,893.6,0.2
"seq.12718.43","12718-43",3,"SL010814","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4","PIN4","Q9Y237","5303","PIN4","Human","RFU","Protein","20",7698.5,7698.5,0.86577823,0.88610727,0.91012803,1.117,0.87585469,1.113,0.80483623,1.095,"FLAG",1.184,1.269,18747.1,0.2
"seq.12720.71","12720-71",3,"SL019882","Ubiquilin-4","UBQL4","Q9NRR5","56893","UBQLN4","Human","RFU","Protein","20",3454.2,3454.2,0.89696183,0.92797464,0.9352105,1.009,0.91113397,1.049,0.91715788,1.031,"PASS",1.138,1.048,3002.4,0.2
"seq.12721.4","12721-4",3,"SL019891","Tax1-binding protein 1","TAXB1","Q86VP1","8887","TAX1BP1","Human","RFU","Protein","20",1182.6,1182.6,1.10865285,1.14994166,1.05054633,1.022,1.08049338,0.938,1.02691907,0.951,"PASS",0.928,0.948,720.8,0.2
"seq.12724.81","12724-81",3,"SL005468","Cold-inducible RNA-binding protein","CIRBP","Q14011","1153","CIRBP","Human","RFU","Protein","20",15074.8,15074.8,0.98944577,1.08022816,1.11648645,1.011,1.06379315,1.042,1.20825552,1.011,"PASS",1.095,1.005,12922.1,0.2
"seq.12726.3","12726-3",3,"SL019868","Regulatory factor X-associated protein","RFXAP","O00287","5994","RFXAP","Human","RFU","Protein","20",812,812,0.91205212,0.90382903,0.8650261,0.966,0.88626937,1.006,0.80205452,1.024,"PASS",0.98,1.082,751.9,0.2
"seq.12727.7","12727-7",3,"SL019877","Prostaglandin F2 receptor negative regulator","FPRP","Q9P2B2","5738","PTGFRN","Human","RFU","Protein","20",7644.8,7644.8,0.97319042,0.90279762,0.99117064,1.025,0.99719552,1.053,1.01785453,1.047,"PASS",1.074,1.056,5944.4,0.2
"seq.12729.12","12729-12",3,"SL019892","Proteasome assembly chaperone 3","PSMG3","Q9BT73","84262","PSMG3","Human","RFU","Protein","20",1178.9,1178.9,0.98274425,0.99292512,0.95752112,1.006,0.98086363,1.074,0.91807492,1.066,"PASS",1.082,1.079,1109.7,0.2
